ZIP,Date,Datatype,Value,Station
07307,2019-03-08T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-08T00:00:00,TMAX,39.0,GHCND:USW00094728
07307,2019-03-08T00:00:00,TMIN,24.0,GHCND:USW00094728
07307,2019-03-09T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-09T00:00:00,TMAX,49.0,GHCND:USW00094728
07307,2019-03-09T00:00:00,TMIN,34.0,GHCND:USW00094728
07307,2019-03-10T00:00:00,PRCP,0.54,GHCND:USW00094728
07307,2019-03-10T00:00:00,TMAX,43.0,GHCND:USW00094728
07307,2019-03-10T00:00:00,TMIN,35.0,GHCND:USW00094728
07307,2019-03-11T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-11T00:00:00,TMAX,53.0,GHCND:USW00094728
07307,2019-03-11T00:00:00,TMIN,39.0,GHCND:USW00094728
07307,2019-03-12T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-12T00:00:00,TMAX,44.0,GHCND:USW00094728
07307,2019-03-12T00:00:00,TMIN,34.0,GHCND:USW00094728
07307,2019-03-13T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-13T00:00:00,TMAX,49.0,GHCND:USW00094728
07307,2019-03-13T00:00:00,TMIN,32.0,GHCND:USW00094728
07307,2019-03-14T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-14T00:00:00,TMAX,57.0,GHCND:USW00094728
07307,2019-03-14T00:00:00,TMIN,42.0,GHCND:USW00094728
07307,2019-03-15T00:00:00,PRCP,0.39,GHCND:USW00094728
07307,2019-03-15T00:00:00,TMAX,75.0,GHCND:USW00094728
07307,2019-03-15T00:00:00,TMIN,49.0,GHCND:USW00094728
07307,2019-03-16T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-16T00:00:00,TMAX,58.0,GHCND:USW00094728
07307,2019-03-16T00:00:00,TMIN,37.0,GHCND:USW00094728
07307,2019-03-17T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-17T00:00:00,TMAX,45.0,GHCND:USW00094728
07307,2019-03-17T00:00:00,TMIN,34.0,GHCND:USW00094728
07307,2019-03-18T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-18T00:00:00,TMAX,46.0,GHCND:USW00094728
07307,2019-03-18T00:00:00,TMIN,32.0,GHCND:USW00094728
07307,2019-03-19T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-19T00:00:00,TMAX,51.0,GHCND:USW00094728
07307,2019-03-19T00:00:00,TMIN,35.0,GHCND:USW00094728
07307,2019-03-20T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-20T00:00:00,TMAX,53.0,GHCND:USW00094728
07307,2019-03-20T00:00:00,TMIN,37.0,GHCND:USW00094728
07307,2019-03-21T00:00:00,PRCP,0.75,GHCND:USW00094728
07307,2019-03-21T00:00:00,TMAX,46.0,GHCND:USW00094728
07307,2019-03-21T00:00:00,TMIN,41.0,GHCND:USW00094728
07307,2019-03-22T00:00:00,PRCP,0.68,GHCND:USW00094728
07307,2019-03-22T00:00:00,TMAX,49.0,GHCND:USW00094728
07307,2019-03-22T00:00:00,TMIN,38.0,GHCND:USW00094728
07307,2019-03-23T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-23T00:00:00,TMAX,48.0,GHCND:USW00094728
07307,2019-03-23T00:00:00,TMIN,35.0,GHCND:USW00094728
07307,2019-03-24T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-24T00:00:00,TMAX,60.0,GHCND:USW00094728
07307,2019-03-24T00:00:00,TMIN,38.0,GHCND:USW00094728
07307,2019-03-25T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-25T00:00:00,TMAX,56.0,GHCND:USW00094728
07307,2019-03-25T00:00:00,TMIN,42.0,GHCND:USW00094728
07307,2019-03-26T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-26T00:00:00,TMAX,49.0,GHCND:USW00094728
07307,2019-03-26T00:00:00,TMIN,33.0,GHCND:USW00094728
07307,2019-03-27T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-27T00:00:00,TMAX,47.0,GHCND:USW00094728
07307,2019-03-27T00:00:00,TMIN,34.0,GHCND:USW00094728
07307,2019-03-28T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-28T00:00:00,TMAX,53.0,GHCND:USW00094728
07307,2019-03-28T00:00:00,TMIN,37.0,GHCND:USW00094728
07307,2019-03-29T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-29T00:00:00,TMAX,59.0,GHCND:USW00094728
07307,2019-03-29T00:00:00,TMIN,49.0,GHCND:USW00094728
07307,2019-03-30T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-03-30T00:00:00,TMAX,70.0,GHCND:USW00094728
07307,2019-03-30T00:00:00,TMIN,52.0,GHCND:USW00094728
07307,2019-03-31T00:00:00,PRCP,0.06,GHCND:USW00094728
07307,2019-03-31T00:00:00,TMAX,65.0,GHCND:USW00094728
07307,2019-03-31T00:00:00,TMIN,39.0,GHCND:USW00094728
07307,2019-04-01T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-01T00:00:00,TMAX,46.0,GHCND:USW00094728
07307,2019-04-01T00:00:00,TMIN,33.0,GHCND:USW00094728
07307,2019-04-02T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-02T00:00:00,TMAX,52.0,GHCND:USW00094728
07307,2019-04-02T00:00:00,TMIN,39.0,GHCND:USW00094728
07307,2019-04-03T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-03T00:00:00,TMAX,67.0,GHCND:USW00094728
07307,2019-04-03T00:00:00,TMIN,41.0,GHCND:USW00094728
07307,2019-04-04T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-04T00:00:00,TMAX,60.0,GHCND:USW00094728
07307,2019-04-04T00:00:00,TMIN,44.0,GHCND:USW00094728
07307,2019-04-05T00:00:00,PRCP,0.2,GHCND:USW00094728
07307,2019-04-05T00:00:00,TMAX,45.0,GHCND:USW00094728
07307,2019-04-05T00:00:00,TMIN,38.0,GHCND:USW00094728
07307,2019-04-06T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-06T00:00:00,TMAX,68.0,GHCND:USW00094728
07307,2019-04-06T00:00:00,TMIN,39.0,GHCND:USW00094728
07307,2019-04-07T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-07T00:00:00,TMAX,66.0,GHCND:USW00094728
07307,2019-04-07T00:00:00,TMIN,51.0,GHCND:USW00094728
07307,2019-04-08T00:00:00,PRCP,0.26,GHCND:USW00094728
07307,2019-04-08T00:00:00,TMAX,79.0,GHCND:USW00094728
07307,2019-04-08T00:00:00,TMIN,49.0,GHCND:USW00094728
07307,2019-04-09T00:00:00,PRCP,0.03,GHCND:USW00094728
07307,2019-04-09T00:00:00,TMAX,51.0,GHCND:USW00094728
07307,2019-04-09T00:00:00,TMIN,46.0,GHCND:USW00094728
07307,2019-04-10T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-10T00:00:00,TMAX,60.0,GHCND:USW00094728
07307,2019-04-10T00:00:00,TMIN,45.0,GHCND:USW00094728
07307,2019-04-11T00:00:00,PRCP,0.0,GHCND:USW00094728
07307,2019-04-11T00:00:00,TMAX,55.0,GHCND:USW00094728
07307,2019-04-11T00:00:00,TMIN,40.0,GHCND:USW00094728
07307,2019-04-12T00:00:00,PRCP,0.63,GHCND:USW00094728
07307,2019-04-12T00:00:00,TMAX,68.0,GHCND:USW00094728
07307,2019-04-12T00:00:00,TMIN,46.0,GHCND:USW00094728
07307,2019-04-13T00:00:00,PRCP,0.24,GHCND:USW00094728
07307,2019-04-13T00:00:00,TMAX,77.0,GHCND:USW00094728
07307,2019-04-13T00:00:00,TMIN,59.0,GHCND:USW00094728
07307,2019-04-14T00:00:00,PRCP,0.01,GHCND:USW00094728
07307,2019-04-14T00:00:00,TMAX,73.0,GHCND:USW00094728
