zipcode,latitude,longitude,zipcode
43536,41.2924091,-84.6324968,43536
46069,40.1184626,-86.2175267,46069
43551,41.5471778,-83.6021853,43551
62960,37.1878565,-88.7293061,62960
43571,41.5211499,-83.8088496,43571
43701,39.9490667,-82.0083845,43701
62803,38.438088,-89.295416,62803
43739,39.9013706,-82.2917979,43739
62611,39.8788204,-90.4192623,62611
43783,39.8071125,-82.2993303,43783
43343,40.3033973,-83.9767637,43343
43824,40.3551891,-81.7514653,43824
44090,41.2209591,-82.1272601,44090
44287,40.9459404,-82.1234867,44287
62513,39.7202548,-89.1335999,62513
44417,41.4328904,-80.6568339,44417
44606,40.741241,-81.8125331,44606
62441,39.4008079,-87.7013749,62441
44641,40.845645,-81.2638275,44641
62340,39.7154074,-90.7280063,62340
44663,40.4747619,-81.4408318,44663
62258,38.4916814,-89.7949212,62258
44802,41.0430789,-83.4186411,44802
44817,41.1935404,-83.5661707,44817
62550,39.6210279,-89.0336622,62550
62092,39.4384086,-90.4027172,62092
46721,41.4153987,-84.8805312,46721
47452,38.6516629,-86.4374139,47452
68773,42.4043382,-98.1427857,68773
68882,41.386773,-98.394997,68882
51553,41.4434634,-95.559566,51553
68939,40.1032401,-98.9558111,68939
51026,42.2867388,-96.0701361,51026
68964,40.234659,-97.90228,68964
68976,40.580353,-99.722171,68976
50633,42.6671465,-93.1232031,50633
69133,41.230559,-103.487481,69133
50581,42.8123612,-94.5406346,50581
43014,40.456061,-82.2497863,43014
50480,43.2230404,-94.0627619,50480
43340,40.5346308,-83.5022256,43340
43023,40.0660708,-82.5215437,43023
50471,43.1109539,-92.8879609,50471
43061,40.2772568,-83.1891605,43061
50234,41.9073249,-93.1858516,50234
43066,40.3898352,-83.1732139,43066
43076,39.9097201,-82.42402,43076
50135,41.7285525,-92.8856413,50135
43123,39.8911597,-83.0869664,43123
47918,40.2936856,-87.220369,47918
43162,39.9411378,-83.2921723,43162
47841,39.2745205,-87.1124839,47841
43324,40.4596697,-83.8388704,43324
43337,40.6716536,-83.2320871,43337
43060,40.2201787,-83.5597716,43060
44833,40.7270628,-82.7955924,44833
61849,40.0204335,-87.9698387,61849
44851,41.0995281,-82.4093033,44851
68827,41.033038,-98.180808,68827
61333,40.9815298,-88.8978074,61333
61423,40.8940648,-90.5106595,61423
68766,42.412114,-98.404633,68766
61425,40.7357494,-90.8314891,61425
61432,40.6374161,-90.1708639,61432
68758,41.7460564,-97.7639217,68758
61454,40.6781503,-91.0738804,61454
68733,42.2794525,-96.7070638,68733
61533,40.5837443,-89.8214544,61533
68729,42.4674725,-97.9084696,68729
61536,40.6866886,-89.7714243,61536
61311,41.0345303,-88.8717164,61311
68653,41.537449,-97.4877867,68653
68624,41.3360808,-97.2145558,68624
61773,40.5661949,-88.3986872,61773
61777,40.2370018,-88.969133,61777
68462,40.9192959,-96.5301762,68462
61820,40.111688,-88.241968,61820
68343,40.6042242,-97.1303775,68343
61832,40.1354862,-87.6283194,61832
61930,39.6852502,-88.1236206,61930
56547,46.8626835,-96.5868986,56547
61956,39.8645354,-88.1599564,61956
56510,47.2978197,-96.515784,56510
62021,38.9503634,-89.991736,62021
61771,40.7383602,-89.1361696,61771
68920,40.1029535,-99.3636999,68920
61240,41.4367974,-90.4555461,61240
68935,40.371648,-97.9702763,68935
45013,39.4102658,-84.6050272,45013
61734,40.3811772,-89.532088,61734
45064,39.5631839,-84.6231648,45064
61548,40.7944628,-89.4275398,61548
45312,40.0568464,-84.102622,45312
45348,40.2893818,-84.6034146,45348
61491,41.0653487,-89.7750687,61491
45679,38.9568363,-83.5618027,45679
45814,40.8857683,-83.6331522,45814
61490,41.1809534,-90.2669255,61490
45817,40.8883855,-83.897157,45817
61467,41.0694172,-90.2420187,61467
45886,40.9320524,-84.5924372,45886
61252,41.8564085,-90.1466424,61252
60051,42.3434081,-88.2381725,60051
60072,42.3792821,-88.2827635,60072
60959,40.7867977,-88.2011449,60959
60142,42.1692328,-88.4245017,60142
45807,40.7910494,-84.153363,45807
60552,41.6307949,-88.6788233,60552
45601,39.3314818,-82.9812783,45601
61011,42.3548572,-88.9493192,61011
61050,42.4421098,-89.7385601,61050
45304,39.9756489,-84.5417253,45304
61102,42.2501597,-89.1243494,61102
68980,40.6788049,-98.274841,68980
61230,41.7688028,-90.2064949,61230
50144,40.7408895,-93.7482161,50144
68065,41.0513726,-96.7976196,68065
50146,41.6503341,-94.2588669,50146
50173,41.9795892,-92.694405,50173
52068,42.4512597,-90.8148907,52068
44813,40.6255292,-82.5567807,44813
44855,41.1010218,-82.604871,44855
52060,42.0765422,-90.6755189,52060
44904,40.6843887,-82.5749868,44904
45053,39.344866,-84.7813183,45053
51534,41.0431598,-95.7337322,51534
45056,39.5015678,-84.741033,45056
45121,38.8564352,-83.9393768,45121
51038,42.7135089,-96.2881146,51038
45142,39.2234371,-83.8021185,45142
45171,38.9780433,-83.7923511,45171
44662,40.7192848,-81.5342895,44662
51016,42.4701458,-95.7772411,51016
50654,42.4678068,-91.6210773,50654
45321,39.8824376,-84.6773199,45321
45362,40.2706352,-84.6333777,45362
50619,42.7959024,-92.6683235,50619
45383,39.9569404,-84.3297953,45383
45426,39.8084079,-84.2979638,45426
50568,42.5922741,-94.9987291,50568
45690,39.1318705,-83.0683019,45690
